frecuencia_hz,carga_1meg_cable_300pf_db,carga_1meg_cable_600pf_db,carga_10k_cable_300pf_db,carga_10k_cable_600pf_db
1,-0.108757801,-0.108757308,-7.08217704,-7.08217694
1.02329299,-0.108757769,-0.108757253,-7.08217743,-7.08217733
1.04712855,-0.108757737,-0.108757196,-7.08217784,-7.08217773
1.07151931,-0.108757703,-0.108757137,-7.08217827,-7.08217815
1.0964782,-0.108757667,-0.108757074,-7.08217871,-7.08217859
1.12201845,-0.10875763,-0.108757009,-7.08217918,-7.08217906
1.14815362,-0.10875759,-0.108756941,-7.08217967,-7.08217954
1.17489755,-0.108757549,-0.108756869,-7.08218018,-7.08218005
1.20226443,-0.108757506,-0.108756794,-7.08218072,-7.08218058
1.23026877,-0.108757461,-0.108756715,-7.08218128,-7.08218113
1.25892541,-0.108757414,-0.108756633,-7.08218187,-7.08218172
1.28824955,-0.108757365,-0.108756547,-7.08218249,-7.08218232
1.31825674,-0.108757313,-0.108756457,-7.08218313,-7.08218296
1.34896288,-0.108757259,-0.108756362,-7.08218381,-7.08218363
1.38038426,-0.108757203,-0.108756263,-7.08218452,-7.08218433
1.41253754,-0.108757143,-0.10875616,-7.08218526,-7.08218506
1.44543977,-0.108757081,-0.108756051,-7.08218604,-7.08218583
1.47910839,-0.108757016,-0.108755938,-7.08218685,-7.08218663
1.51356125,-0.108756948,-0.108755819,-7.0821877,-7.08218748
1.54881662,-0.108756877,-0.108755694,-7.08218859,-7.08218836
1.58489319,-0.108756802,-0.108755564,-7.08218953,-7.08218928
1.6218101,-0.108756724,-0.108755428,-7.08219051,-7.08219025
1.65958691,-0.108756642,-0.108755285,-7.08219153,-7.08219126
1.69824365,-0.108756556,-0.108755135,-7.0821926,-7.08219232
1.73780083,-0.108756467,-0.108754978,-7.08219372,-7.08219342
1.77827941,-0.108756373,-0.108754814,-7.0821949,-7.08219459
1.81970086,-0.108756274,-0.108754642,-7.08219613,-7.0821958
1.86208714,-0.108756171,-0.108754462,-7.08219742,-7.08219708
1.90546072,-0.108756063,-0.108754274,-7.08219877,-7.08219841
1.9498446,-0.10875595,-0.108754076,-7.08220018,-7.08219981
1.99526231,-0.108755832,-0.10875387,-7.08220166,-7.08220127
2.04173794,-0.108755708,-0.108753653,-7.08220321,-7.0822028
2.08929613,-0.108755578,-0.108753427,-7.08220483,-7.0822044
2.13796209,-0.108755442,-0.108753189,-7.08220653,-7.08220608
2.18776162,-0.1087553,-0.108752941,-7.08220831,-7.08220784
2.23872114,-0.108755151,-0.108752681,-7.08221017,-7.08220968
2.29086765,-0.108754995,-0.108752408,-7.08221212,-7.08221161
2.34422882,-0.108754832,-0.108752123,-7.08221417,-7.08221362
2.39883292,-0.108754661,-0.108751824,-7.08221631,-7.08221574
2.45470892,-0.108754482,-0.108751512,-7.08221855,-7.08221795
2.51188643,-0.108754294,-0.108751184,-7.08222089,-7.08222027
2.57039578,-0.108754098,-0.108750841,-7.08222335,-7.08222269
2.63026799,-0.108753892,-0.108750482,-7.08222592,-7.08222523
2.6915348,-0.108753677,-0.108750106,-7.08222861,-7.08222789
2.7542287,-0.108753451,-0.108749712,-7.08223143,-7.08223068
2.81838293,-0.108753215,-0.1087493,-7.08223438,-7.0822336
2.8840315,-0.108752968,-0.108748868,-7.08223747,-7.08223665
2.95120923,-0.108752709,-0.108748416,-7.08224071,-7.08223985
3.01995172,-0.108752438,-0.108747943,-7.0822441,-7.0822432
3.09029543,-0.108752154,-0.108747447,-7.08224765,-7.08224671
3.16227766,-0.108751857,-0.108746928,-7.08225137,-7.08225038
3.23593657,-0.108751546,-0.108746384,-7.08225526,-7.08225422
3.31131121,-0.10875122,-0.108745815,-7.08225934,-7.08225825
3.38844156,-0.108750878,-0.108745219,-7.0822636,-7.08226247
3.4673685,-0.108750521,-0.108744595,-7.08226807,-7.08226688
3.54813389,-0.108750147,-0.108743942,-7.08227275,-7.08227151
3.63078055,-0.108749755,-0.108743258,-7.08227765,-7.08227635
3.71535229,-0.108749345,-0.108742541,-7.08228278,-7.08228142
3.80189396,-0.108748915,-0.108741791,-7.08228815,-7.08228672
3.89045145,-0.108748465,-0.108741005,-7.08229378,-7.08229228
3.98107171,-0.108747994,-0.108740182,-7.08229967,-7.0822981
4.07380278,-0.108747501,-0.108739321,-7.08230584,-7.0823042
4.16869383,-0.108746984,-0.108738419,-7.0823123,-7.08231058
4.26579519,-0.108746443,-0.108737474,-7.08231906,-7.08231726
4.36515832,-0.108745877,-0.108736485,-7.08232614,-7.08232426
4.46683592,-0.108745284,-0.10873545,-7.08233356,-7.08233159
4.5708819,-0.108744663,-0.108734365,-7.08234133,-7.08233926
4.67735141,-0.108744013,-0.10873323,-7.08234946,-7.08234729
4.78630092,-0.108743332,-0.10873204,-7.08235797,-7.08235571
4.89778819,-0.108742619,-0.108730795,-7.08236689,-7.08236452
5.01187234,-0.108741872,-0.108729491,-7.08237622,-7.08237374
5.12861384,-0.10874109,-0.108728126,-7.082386,-7.0823834
5.2480746,-0.108740271,-0.108726696,-7.08239624,-7.08239351
5.37031796,-0.108739414,-0.108725199,-7.08240696,-7.0824041
5.49540874,-0.108738517,-0.108723632,-7.08241818,-7.08241519
5.62341325,-0.108737577,-0.10872199,-7.08242994,-7.08242681
5.75439937,-0.108736592,-0.108720272,-7.08244224,-7.08243897
5.88843655,-0.108735562,-0.108718472,-7.08245513,-7.0824517
6.02559586,-0.108734483,-0.108716587,-7.08246862,-7.08246503
6.16595002,-0.108733352,-0.108714614,-7.08248276,-7.08247899
6.30957344,-0.108732169,-0.108712547,-7.08249755,-7.08249361
6.45654229,-0.10873093,-0.108710383,-7.08251305,-7.08250892
6.60693448,-0.108729633,-0.108708118,-7.08252927,-7.08252495
6.76082975,-0.108728274,-0.108705745,-7.08254626,-7.08254174
6.91830971,-0.108726851,-0.108703261,-7.08256405,-7.08255931
7.07945784,-0.108725361,-0.108700659,-7.08258267,-7.08257772
7.2443596,-0.108723802,-0.108697935,-7.08260218,-7.08259699
7.41310241,-0.108722168,-0.108695082,-7.0826226,-7.08261717
7.58577575,-0.108720458,-0.108692095,-7.08264399,-7.0826383
7.76247117,-0.108718667,-0.108688968,-7.08266639,-7.08266042
7.94328235,-0.108716791,-0.108685693,-7.08268983,-7.08268359
8.12830516,-0.108714827,-0.108682263,-7.08271439,-7.08270785
8.31763771,-0.108712771,-0.108678672,-7.0827401,-7.08273326
8.51138038,-0.108710618,-0.108674912,-7.08276703,-7.08275986
8.7096359,-0.108708363,-0.108670974,-7.08279522,-7.08278771
8.91250938,-0.108706002,-0.108666851,-7.08282474,-7.08281688
9.12010839,-0.108703529,-0.108662533,-7.08285565,-7.08284742
9.33254301,-0.108700941,-0.108658012,-7.08288802,-7.0828794
9.54992586,-0.10869823,-0.108653278,-7.08292191,-7.08291289
9.77237221,-0.108695391,-0.108648321,-7.0829574,-7.08294796
10,-0.108692419,-0.108643131,-7.08299457,-7.08298467
10.2329299,-0.108689306,-0.108637695,-7.08303348,-7.08302312
10.4712855,-0.108686047,-0.108632004,-7.08307423,-7.08306338
10.7151931,-0.108682634,-0.108626044,-7.0831169,-7.08310554
10.964782,-0.108679061,-0.108619803,-7.08316157,-7.08314968
11.2201845,-0.108675319,-0.108613268,-7.08320836,-7.0831959
11.4815362,-0.1086714,-0.108606425,-7.08325734,-7.0832443
11.7489755,-0.108667297,-0.10859926,-7.08330864,-7.08329498
12.0226443,-0.108663001,-0.108591757,-7.08336235,-7.08334805
