tiempo_s,entrada_v,entrada_pcm1808_v,riel_positivo_v,riel_negativo_v,entrada_no_inversora_v,salida_etapa_a_v,salida_etapa_b_v
0,0,0,6.86790768,-6.8678999,-3.69154807e-05,-0.000284996912,-0.000274190568
5e-08,0.00047123889,1.35624282e-06,6.86790768,-6.8678999,0.000434323174,2.22226015e-05,-0.000272834324
5.03757687e-08,0.000474780427,1.38010796e-06,6.86790768,-6.8678999,0.000437864709,2.45489513e-05,-0.000272810459
5.11273061e-08,0.000481863499,1.40991027e-06,6.86790768,-6.8678999,0.000444947778,2.92368637e-05,-0.000272780657
5.26303808e-08,0.000496029644,1.432262e-06,6.86790768,-6.8678999,0.000459113915,3.88268956e-05,-0.000272758305
5.56365304e-08,0.000524361935,1.51794364e-06,6.86790768,-6.8678999,0.00048744619,5.88912319e-05,-0.000272672623
6.16488295e-08,0.000581026515,1.71165867e-06,6.86790768,-6.8678999,0.000544110737,0.000102746633,-0.000272478908
7.36734276e-08,0.000694355672,2.18197639e-06,6.86790768,-6.8678999,0.000657439818,0.000206499099,-0.00027200859
9.77226239e-08,0.000921013974,3.55241703e-06,6.86790768,-6.8678999,0.000884097926,0.000483206348,-0.000270638149
1.4578047e-07,0.00137394837,9.33243542e-06,6.86790768,-6.8678999,0.00133703177,0.00132166323,-0.000264858129
2.06613311e-07,0.00194728404,2.6752583e-05,6.86790768,-6.8678999,0.00191036643,0.00290903983,-0.000247437973
2.8002743e-07,0.00263919499,7.25946972e-05,6.86790768,-6.8678999,0.0026022757,0.00553087495,-0.000201595831
3.54194407e-07,0.00333820088,0.000157754187,6.86790768,-6.8678999,0.00330127937,0.00886693213,-0.000116436277
4.32629526e-07,0.0040774322,0.00030199729,6.86790768,-6.86789991,0.00404050778,0.0130420132,2.78069638e-05
5.25339816e-07,0.00495120213,0.000558108717,6.86790768,-6.86789991,0.00491427353,0.0187052709,0.000283918693
6.58940699e-07,0.00621035204,0.00111652912,6.86790768,-6.86789991,0.00617341598,0.0279975472,0.000842339941
8.22117708e-07,0.0077482424,0.00213949828,6.86790768,-6.86789992,0.00771129495,0.040764479,0.00186531112
1.08430938e-06,0.0102192961,0.0046525107,6.86790767,-6.86789994,0.0101823251,0.0635291486,0.00437833028
1.44334742e-06,0.0136030425,0.00993397864,6.86790767,-6.86789998,0.0135660287,0.0974887657,0.00965981805
1.85236775e-06,0.0174577606,0.0185745893,6.86790767,-6.86790004,0.0174206833,0.138244074,0.0183004729
2.36175012e-06,0.0222581536,0.0330966365,6.86790767,-6.86790016,0.0222209751,0.190314697,0.0328226198
3.00255232e-06,0.0282967103,0.0568161243,6.86790767,-6.86790036,0.0282593699,0.25656205,0.0565423258
3.91711333e-06,0.0369141964,0.099847812,6.86790767,-6.86790074,0.0368765578,0.351454846,0.0995745562
5.26976627e-06,0.0496573023,0.179668749,6.86790767,-6.86790148,0.0496190782,0.491848707,0.179396925
7.25186642e-06,0.0683235834,0.32260715,6.86790765,-6.86790288,0.0682841901,0.697412753,0.322339098
9.73476002e-06,0.0916907546,0.531071929,6.86790764,-6.867905,0.0916493749,0.954637349,0.530811906
1.27807607e-05,0.120326409,0.813269034,6.86790761,-6.86790791,0.1202818,1.26976452,0.813024521
1.63087598e-05,0.153437587,1.15931039,6.86790758,-6.86791152,0.153388149,1.63408105,1.15909224
2.07522794e-05,0.195031883,1.60797132,6.86790753,-6.86791623,0.194974704,2.09170162,1.60779974
2.57522794e-05,0.241651826,2.11867608,6.86790748,-6.8679216,0.241583731,2.60461316,2.11857508
3.07522794e-05,0.288033288,2.62994113,6.86790743,-6.86792698,0.287951953,3.11491852,2.62993007
3.57522794e-05,0.334130495,3.13938467,6.86790739,-6.86793234,0.334033609,3.62212012,3.13948288
4.07522794e-05,0.379897957,3.6459335,6.86790734,-6.86793767,0.379783223,4.12572042,3.64616022
4.57522794e-05,0.425290505,4.14891453,6.86790729,-6.86794297,0.425155646,4.62522258,4.14928888
5.07522794e-05,0.470263342,4.647294,6.86790745,-6.86794822,0.4701061,5.11871164,4.64783494
5.21832315e-05,0.483050655,4.78235677,6.86791095,-6.86794966,0.482886593,5.20577179,4.78294883
5.3539053e-05,0.495130573,4.89247558,6.8679227,-6.86795086,0.494959882,5.2365532,4.89311732
5.45954228e-05,0.504517617,4.96310128,6.86793845,-6.86795161,0.504341648,5.25077634,4.96378246
5.57116863e-05,0.514412723,5.02497241,6.86795961,-6.86795221,0.514231068,5.26133842,5.02569582
5.72961078e-05,0.528414246,5.09420934,6.86799445,-6.86795281,0.528224332,5.27210151,5.09499348
5.8268515e-05,0.536981557,5.12747955,6.86801765,-6.86795304,0.536786465,5.27719741,5.12830134
5.93351237e-05,0.546355759,5.15744103,6.86804419,-6.86795321,0.546154891,5.28190506,5.15830437
6.03215654e-05,0.555003557,5.1797336,6.86806978,-6.8679533,0.554797259,5.28564697,5.18063557
6.13179746e-05,0.563717092,5.19781904,6.86809688,-6.86795332,0.563505222,5.28896914,5.19876018
6.33107932e-05,0.581077537,5.22356826,6.86815547,-6.86795323,0.580854263,5.29458903,5.22458806
6.48656481e-05,0.594559529,5.23679928,6.86820489,-6.86795304,0.594327119,5.29827435,5.23788069
6.65102265e-05,0.608757726,5.24652498,6.86825916,-6.86795275,0.608515424,5.30167887,5.2476717
6.91968191e-05,0.631811473,5.25680279,6.86834799,-6.86795219,0.631552512,5.30642228,5.25805639
7.2573498e-05,0.660530751,5.26424981,6.86845513,-6.86795143,0.660249979,5.31134069,5.26563798
7.7573498e-05,0.702506833,5.27006757,6.868601,-6.86795032,0.702191998,5.31717106,5.27165525
8.2573498e-05,0.743789627,5.27317071,6.86873434,-6.86794929,0.743438649,5.32182474,5.27495808
8.7573498e-05,0.78433839,5.27515642,6.86885871,-6.86794831,0.783949225,5.32567075,5.27714356
9.2573498e-05,0.824113105,5.27656109,6.86897581,-6.86794738,0.823683748,5.32889084,5.27874808
9.7573498e-05,0.863074521,5.27764669,6.86908614,-6.86794651,0.862603005,5.33163955,5.28003357
0.000102573498,0.901184186,5.2785061,6.86918967,-6.86794568,0.900668586,5.33400834,5.2810929
0.000107573498,0.938404491,5.2792,6.86928635,-6.8679449,0.937842926,5.3360612,5.28198677
0.000112573498,0.974698704,5.27976249,6.86937606,-6.86794417,0.974089339,5.33784559,5.28274923
0.000117573498,1.01003101,5.28021758,6.86945867,-6.8679435,1.00937205,5.33939765,5.28340432
0.000122573498,1.04436653,5.28058237,6.86953408,-6.86794288,1.04365625,5.34074548,5.28396913
0.000127573498,1.07767139,5.28086923,6.86960225,-6.86794232,1.0769081,5.34191147,5.28445602
0.000132573498,1.10991272,5.28108822,6.86966314,-6.86794182,1.10909477,5.34291376,5.28487504
0.000137573498,1.1410587,5.28124664,6.86971678,-6.86794138,1.14018452,5.34376742,5.28523351
0.000142573498,1.17107859,5.28135104,6.86976325,-6.86794099,1.17014665,5.34448514,5.28553796
0.000147573498,1.19994277,5.28140618,6.86980266,-6.86794066,1.1989516,5.3450779,5.28579315
0.000152573498,1.22762275,5.28141671,6.86983519,-6.86794038,1.22657094,5.34555535,5.28600373
0.000157573498,1.25409122,5.28138603,6.86986107,-6.86794016,1.25297741,5.34592621,5.28617311
0.000162573498,1.27932205,5.28131778,6.86988058,-6.86793999,1.27814496,5.34619853,5.28630491
0.000167573498,1.30329034,5.28121465,6.86989404,-6.86793987,1.30204875,5.34637996,5.28640182
0.000172573498,1.32597244,5.28107973,6.86990184,-6.86793979,1.32466518,5.34647783,5.28646695
0.000177573498,1.34734597,5.28091612,6.86990469,-6.86793976,1.34597194,5.34650558,5.28650338
0.000182573498,1.36738983,5.28073136,6.86990488,-6.86793975,1.365948,5.34650431,5.28651865
0.000187573498,1.38608424,5.28053595,6.86990484,-6.86793976,1.38457364,5.34650461,5.28652327
0.000192573498,1.40341075,5.2803374,6.8699049,-6.86793976,1.4018305,5.34650458,5.28652473
0.000197573498,1.41935227,5.28013777,6.86990488,-6.86793976,1.41770152,5.34650459,5.28652511
0.000202573498,1.43389305,5.27993797,6.8699049,-6.86793976,1.43217106,5.34650459,5.28652531
0.000207573498,1.44701876,5.27973795,6.86990489,-6.86793976,1.44522483,5.34650459,5.28652528
0.000212573498,1.45871643,5.27953804,6.86990489,-6.86793976,1.45684995,5.34650459,5.28652536
0.000217573498,1.46897453,5.279338,6.86990489,-6.86793976,1.46703495,5.34650459,5.2865253
0.000222573498,1.47778293,5.2791381,6.86990489,-6.86793976,1.47576977,5.34650459,5.28652537
0.000227573498,1.48513293,5.27893807,6.86990489,-6.86793976,1.4830458,5.34650459,5.28652531
0.000232573498,1.49101729,5.27873818,6.86990489,-6.86793976,1.48885586,5.34650459,5.28652536
0.000237573498,1.49543019,5.27853817,6.86990489,-6.86793976,1.49319421,5.34650459,5.28652531
0.000242573498,1.49836728,5.27833828,6.86990489,-6.86793976,1.49605657,5.34650459,5.28652536
0.000247573498,1.49982567,5.2781383,6.86990489,-6.86793976,1.49744012,5.34650459,5.28652531
0.000252573498,1.49980391,5.27793842,6.86990489,-6.86793976,1.49734348,5.34650459,5.28652536
0.000257573498,1.49830202,5.27773845,6.86990489,-6.86793976,1.49576677,5.34650459,5.28652531
0.000262573498,1.49532149,5.2775386,6.86990489,-6.86793976,1.49271152,5.34650459,5.28652536
0.000267573498,1.49086526,5.27733864,6.86990489,-6.86793976,1.48818077,5.34650459,5.28652531
0.000272573498,1.48493773,5.2771388,6.86990489,-6.86793976,1.48217897,5.34650459,5.28652536
0.000277573498,1.47754474,5.27693886,6.86990489,-6.86793976,1.47471206,5.34650459,5.28652531
0.000282573498,1.46869359,5.27673903,6.86990489,-6.86793976,1.4657874,5.34650459,5.28652536
0.000287573498,1.45839302,5.27653911,6.86990489,-6.86793976,1.45541379,5.34650459,5.28652531
0.000292573498,1.44665319,5.27633929,6.86990489,-6.86793976,1.44360149,5.34650459,5.28652536
0.000297573498,1.43348569,5.27613939,6.86990489,-6.86793976,1.43036213,5.34650459,5.28652531
0.000302573498,1.41890351,5.27593958,6.86990489,-6.86793976,1.4157088,5.34650459,5.28652536
0.000307573498,1.40292104,5.27573969,6.86990489,-6.86793976,1.39965595,5.34650459,5.28652531
0.000312573498,1.38555407,5.2755399,6.86990489,-6.86793976,1.38221942,5.34650459,5.28652536
0.000317573498,1.36681971,5.27534003,6.86990489,-6.86793976,1.36341643,5.34650459,5.28652531
0.000322573498,1.34673647,5.27514025,6.86990489,-6.86793976,1.34326552,5.34650459,5.28652536
0.000327573498,1.32532417,5.27493951,6.86990451,-6.86793976,1.32178659,5.34649656,5.28652443
0.000332573498,1.30260393,5.27473227,6.86990157,-6.86793977,1.29900082,5.34644022,5.28651698
0.000337573498,1.27859817,5.27450795,6.86989353,-6.86793983,1.27493072,5.34630207,5.28649246
0.000342573498,1.2533306,5.27425848,6.86987971,-6.86793992,1.24960003,5.34607718,5.28644278
0.000347573498,1.22682614,5.27397939,6.86985992,-6.86794007,1.22303375,5.34575756,5.28636347
0.000352573498,1.19911095,5.27366769,6.86983372,-6.86794027,1.1952581,5.34533539,5.28625154
0.000357573498,1.17021238,5.27332032,6.86980089,-6.86794052,1.16630049,5.3448023,5.28610392
0.000362573498,1.14015895,5.27293436,6.86976118,-6.86794082,1.1361895,5.34414907,5.2859177
0.000367573498,1.10898033,5.27250636,6.86971446,-6.86794118,1.10495485,5.34336542,5.28568942
0.000372573498,1.07670727,5.27203268,6.86966059,-6.8679416,1.07262735,5.34243949,5.28541545
0.000377573498,1.04337164,5.27150878,6.86959954,-6.86794207,1.03923891,5.34135741,5.28509124
0.000382573498,1.00900632,5.27092956,6.86953128,-6.8679426,1.00482249,5.3401026,5.28471168
0.000387573498,0.973645233,5.27028846,6.86945586,-6.86794319,0.969412051,5.33865482,5.28427023
0.000392573498,0.937323278,5.26957763,6.86937337,-6.86794383,0.933042532,5.33698887,5.28375901
0.000397573498,0.900076298,5.26878673,6.86928393,-6.86794452,0.89574983,5.33507271,5.28316771
0.000402573498,0.861941052,5.26790258,6.86918773,-6.86794527,0.857570749,5.33286463,5.28248312
0.000407573498,0.822955173,5.26690718,6.86908498,-6.86794606,0.818542966,5.33030879,5.28168724
0.000412573498,0.783157137,5.26577594,6.8689759,-6.86794691,0.778704997,5.32732802,5.28075548
0.000417573498,0.74258622,5.26447322,6.86886077,-6.86794779,0.738096158,5.32381131,5.2796522
0.000422573498,0.70128246,5.26294577,6.86873985,-6.86794872,0.696756524,5.31959075,5.27832413
0.000427573498,0.659286618,5.2611081,6.86861341,-6.86794968,0.654726894,5.31439492,5.27668578
0.000432573498,0.616640141,5.25881215,6.86848163,-6.86795068,0.612048745,5.30774291,5.27458907
0.000437573498,0.573385113,5.25576742,6.86834454,-6.8679517,0.568764195,5.29865987,5.27174348
0.000442573498,0.529564225,5.25119652,6.86820174,-6.86795274,0.524915962,5.28418445,5.26737158
0.000446810732,0.492017511,5.24419131,6.86807502,-6.86795362,0.487347802,5.25947995,5.26053482
0.000448439011,0.477494895,5.23943718,6.86802478,-6.86795395,0.472817367,5.23686244,5.25584535
0.000449221271,0.470500053,5.23597959,6.86800056,-6.8679541,0.465818854,5.21330075,5.2524188
0.000449557655,0.467488654,5.23398852,6.86799029,-6.86795416,0.462805893,5.19411576,5.25044107
0.000449843148,0.464931205,5.2318446,6.86798182,-6.8679542,0.460247127,5.1670366,5.24830847
0.000450145981,0.462216797,5.22876531,6.86797334,-6.86795424,0.457531329,5.12392062,5.24524118
0.000450375916,0.460154683,5.22553503,6.86796728,-6.86795425,0.455468165,5.08869837,5.24202
0.000450567616,0.458434732,5.22197736,6.86796238,-6.86795426,0.453747343,5.06168093,5.23846992
