frecuencia_hz,carga_1meg_cable_300pf_db,carga_1meg_cable_600pf_db,carga_10k_cable_300pf_db,carga_10k_cable_600pf_db
316.227766,-0.00205848797,0.0487286296,-6.24413276,-6.23212092
323.593657,0.0011186966,0.0543253203,-6.29108705,-6.27865023
331.131121,0.00444682,0.0601895125,-6.33971642,-6.32684487
338.844156,0.00793311273,0.066334179,-6.39006098,-6.37674509
346.73685,0.0115851575,0.07277294,-6.44216043,-6.42839079
354.813389,0.0154109069,0.0795200971,-6.49605393,-6.48182135
363.078055,0.019418702,0.0865906698,-6.55178,-6.53707555
371.535229,0.0236172925,0.0940004332,-6.60937643,-6.59419146
380.189396,0.0280158565,0.101765959,-6.66888011,-6.65320631
389.045145,0.0326240235,0.109904657,-6.73032698,-6.7141564
398.107171,0.0374518966,0.118434823,-6.79375189,-6.77707697
407.380278,0.042510077,0.127375684,-6.85918847,-6.84200209
416.869383,0.0478096901,0.136747452,-6.92666904,-6.90896453
426.579519,0.0533624122,0.146571375,-6.99622449,-6.97799569
436.515832,0.0591804989,0.156869798,-7.06788415,-7.04912545
446.683592,0.0652768159,0.167666223,-7.14167573,-7.12238207
457.08819,0.0716648706,0.178985371,-7.21762517,-7.1977921
467.735141,0.0783588459,0.190853257,-7.29575656,-7.27538027
478.630092,0.0853736361,0.203297259,-7.37609206,-7.35516939
489.778819,0.0927248843,0.216346197,-7.4586518,-7.4371803
501.187234,0.100429023,0.230030422,-7.54345378,-7.52143171
512.861384,0.108503316,0.244381896,-7.63051384,-7.60794021
524.80746,0.116965903,0.259434296,-7.71984557,-7.69672017
537.031796,0.125835849,0.275223113,-7.81146025,-7.78778366
549.540874,0.135133193,0.291785758,-7.90536684,-7.88114042
562.341325,0.144879001,0.309161686,-8.00157187,-7.97679784
575.439937,0.155095426,0.327392514,-8.10007949,-8.07476091
588.843655,0.165805766,0.346522159,-8.20089142,-8.17503219
602.559586,0.177034528,0.36659698,-8.30400693,-8.27761182
616.595002,0.188807498,0.387665938,-8.40942288,-8.38249751
630.957344,0.201151815,0.409780755,-8.51713368,-8.48968458
645.654229,0.214096044,0.432996101,-8.62713137,-8.59916593
660.693448,0.227670264,0.457369782,-8.73940562,-8.71093211
676.082975,0.241906153,0.482962951,-8.8539438,-8.82497136
691.830971,0.256837085,0.509840335,-8.970731,-8.94126964
707.945784,0.272498227,0.538070477,-9.08975011,-9.05981072
724.43596,0.28892665,0.567726002,-9.2109819,-9.18057621
741.310241,0.306161445,0.598883903,-9.33440508,-9.30354568
758.577575,0.324243841,0.631625853,-9.45999639,-9.4286967
776.247117,0.343217347,0.666038544,-9.5877307,-9.55600498
794.328235,0.363127884,0.702214056,-9.71758109,-9.68544441
812.830516,0.384023946,0.740250262,-9.84951897,-9.8169872
831.763771,0.405956759,0.780251264,-9.98351419,-9.95060399
851.138038,0.428980463,0.822327876,-10.1195351,-10.0862639
870.96359,0.453152296,0.866598156,-10.2575488,-10.2239348
891.250938,0.478532809,0.913187977,-10.3975209,-10.3635831
912.010839,0.505186079,0.962231673,-10.5394163,-10.5051744
933.254301,0.533179957,1.01387274,-10.6831985,-10.6486728
954.992586,0.562586323,1.06826459,-10.8288303,-10.7940421
977.237221,0.593481373,1.12557147,-10.9762737,-10.9412448
1000,0.625945924,1.18596932,-11.1254901,-11.090243
1023.29299,0.660065745,1.24964691,-11.2764401,-11.2409981
1047.12855,0.695931925,1.31680699,-11.4290842,-11.3934712
1071.51931,0.733641264,1.38766757,-11.5833822,-11.547623
1096.4782,0.773296712,1.46246343,-11.739294,-11.7034138
1122.01845,0.815007833,1.54144776,-11.8967791,-11.8608039
1148.15362,0.858891332,1.62489398,-12.055797,-12.0197537
1174.89755,0.905071619,1.71309783,-12.2163073,-12.1802233
1202.26443,0.953681435,1.80637976,-12.3782698,-12.3421732
1230.26877,1.00486254,1.90508755,-12.5416442,-12.505564
1258.92541,1.05876649,2.00959936,-12.7063908,-12.6703566
1288.24955,1.11555542,2.12032719,-12.87247,-12.8365124
1318.25674,1.17540308,2.23772082,-13.0398428,-13.003993
1348.96288,1.23849574,2.36227236,-13.2084705,-13.1727605
1380.38426,1.30503345,2.49452141,-13.3783151,-13.3427779
1412.53754,1.37523126,2.63506116,-13.5493389,-13.5140083
1445.43977,1.44932067,2.78454532,-13.721505,-13.6864159
1479.10839,1.52755123,2.94369625,-13.8947773,-13.8599653
1513.56125,1.61019236,3.11331443,-14.0691201,-14.0346219
1548.81662,1.69753536,3.29428959,-14.2444986,-14.210352
1584.89319,1.7898957,3.48761375,-14.4208786,-14.3871226
1621.8101,1.88761563,3.69439665,-14.5982269,-14.5649015
1659.58691,1.99106712,3.91588393,-14.7765109,-14.7436574
1698.24365,2.1006552,4.15347888,-14.9556989,-14.9233599
1737.80083,2.2168218,4.4087681,-15.13576,-15.1039794
1778.27941,2.34005014,4.68355225,-15.3166643,-15.2854873
1819.70086,2.47086978,4.97988251,-15.4983824,-15.467856
1862.08714,2.60986242,5.30010383,-15.680886,-15.6510585
1905.46072,2.75766864,5.64690587,-15.8641477,-15.8350692
1949.8446,2.91499573,6.02338178,-16.0481408,-16.019863
1995.26231,3.08262677,6.43309416,-16.2328395,-16.205416
2041.73794,3.26143132,6.88014434,-16.4182188,-16.3917052
2089.29613,3.4523779,7.36923511,-16.6042548,-16.5787085
2137.96209,3.6565487,7.90570365,-16.7909241,-16.7664048
2187.76162,3.87515694,8.4954737,-16.9782044,-16.9547738
2238.72114,4.10956747,9.14481679,-17.1660739,-17.1437965
2290.86765,4.36132107,9.85968751,-17.354512,-17.3334543
2344.22882,4.63216343,10.6441369,-17.5434987,-17.52373
2398.83292,4.9240793,11.4967825,-17.7330148,-17.7146069
2454.70892,5.23933292,12.4033768,-17.9230418,-17.9060697
2511.88643,5.58051511,13.3224412,-18.1135622,-18.0981035
2570.39578,5.95059726,14.1624382,-18.304559,-18.2906947
2630.26799,6.35299119,14.7626522,-18.4960162,-18.4838304
2691.5348,6.79161073,14.9236406,-18.6879182,-18.6774985
2754.2287,7.2709253,14.5269539,-18.8802504,-18.871688
2818.38293,7.79598315,13.6395822,-19.0729989,-19.0663887
2884.0315,8.3723562,12.4521744,-19.2661502,-19.2615911
2951.20923,9.00590463,11.1444334,-19.4596917,-19.4572867
3019.95172,9.70214829,9.82788567,-19.6536116,-19.6534678
3090.29543,10.4648029,8.55648227,-19.8478984,-19.8501277
3162.27766,11.2925867,7.35080724,-20.0425415,-20.0472604
3235.93657,12.1726103,6.21510723,-20.2375309,-20.2448607
3311.31121,13.0677479,5.1464758,-20.432857,-20.4429242
3388.44156,13.8964831,4.13930527,-20.6285111,-20.6414475
3467.3685,14.5144261,3.1873207,-20.8244849,-20.840428
3548.13389,14.7347563,2.28445427,-21.0207708,-21.0398637
3630.78055,14.4281922,1.42517999,-21.2173616,-21.2397538
3715.35229,13.6299513,0.604603808,-21.4142509,-21.4400978
3801.89396,12.5079381,-0.181552126,-21.6114328,-21.6408966
3890.45145,11.23959,-0.937006509,-21.8089017,-21.8421515
3981.07171,9.94364816,-1.66498764,-22.0066528,-22.0438649
4073.80278,8.68143568,-2.36830096,-22.2046818,-22.2460397
4168.69383,7.47855124,-3.04939023,-22.4029848,-22.4486799
4265.79519,6.34221518,-3.71039081,-22.6015587,-22.6517903
4365.15832,5.27119579,-4.35317518,-22.8004006,-22.8553764
4466.83592,4.26081074,-4.97939139,-22.9995083,-23.0594446
4570.8819,3.30529185,-5.59049538,-23.1988801,-23.2640023
4677.35141,2.39884566,-6.18777814,-23.3985147,-23.4690574
4786.30092,1.5360911,-6.77238856,-23.5984115,-23.6746191
4897.78819,0.712206632,-7.34535261,-23.7985702,-23.880697
5011.87234,-0.0770537104,-7.90758956,-23.9989911,-24.0873019
5128.61384,-0.835399337,-8.4599257,-24.1996752,-24.2944454
5248.0746,-1.56606163,-9.00310603,-24.4006236,-24.5021399
5370.31796,-2.2718556,-9.53780414,-24.6018382,-24.7103987
5495.40874,-2.95523767,-10.0646308,-24.8033214,-24.919236
5623.41325,-3.61835702,-10.5841412,-25.0050761,-25.128667
5754.39937,-4.26310003,-11.0968412,-25.2071056,-25.3387077
5888.43655,-4.89112809,-11.603193,-25.4094138,-25.5493751
6025.59586,-5.50390969,-12.1036196,-25.6120053,-25.7606871
6165.95002,-6.1027474,-12.598509,-25.8148849,-25.9726624
6309.57344,-6.68880072,-13.0882178,-26.0180583,-26.1853208
6456.54229,-7.26310525,-13.5730746,-26.2215315,-26.3986829
6606.93448,-7.826589,-14.0533822,-26.425311,-26.6127704
6760.82975,-8.38008616,-14.5294207,-26.6294043,-26.8276059
6918.30971,-8.92434888,-15.0014491,-26.8338189,-27.0432128
7079.45784,-9.4600572,-15.4697077,-27.0385633,-27.2596156
7244.3596,-9.98782772,-15.9344194,-27.2436465,-27.4768396
7413.10241,-10.5082209,-16.3957913,-27.4490779,-27.6949113
7585.77575,-11.0217474,-16.8540164,-27.6548679,-27.9138579
7762.47117,-11.5288737,-17.3092745,-27.8610272,-28.1337075
7943.28235,-12.0300268,-17.7617331,-28.0675672,-28.3544892
8128.30516,-12.5255982,-18.2115489,-28.2745001,-28.5762331
8317.63771,-13.0159478,-18.6588683,-28.4818387,-28.7989701
8511.38038,-13.5014071,-19.1038284,-28.6895964,-29.0227318
8709.6359,-13.9822818,-19.5465575,-28.8977873,-29.247551
8912.50938,-14.4588542,-19.9871759,-29.1064263,-29.4734609
