# relojes.py 2026-09-13T15:25:20-05:00 sha256 c1a1431a00600481ec60da7c30896c65e9041f83086ab0f8109d3cb09029034b
# FREF 12 MHz; REFDIV 1-63; FBDIV 16-320; VCO 750-1600 MHz; POSTDIV1 y POSTDIV2 1-7. Divisor PIO entero 16 bits + fraccion/256; divisor GPOUT0 entero 24 bits + fraccion/256. Tiempos en ns en regimen estable, sin el jitter del PLL.
camino,refdiv,fbdiv,vco_hz,postdiv1,postdiv2,sysclk_hz,divisor,div_int,div_frac,divisor_entero,cumple_ref_min_5mhz,cumple_sysclk_max_133mhz,postdiv1_mayor_o_igual,periodo_sm_pp_ns,mclk_periodo_pp_ns,mclk_tie_pp_ns,duty_min,duty_max,pulso_min_ns,requiere_dc50,cumple_pcm1808
gpout0,1,66,792000000,1,2,396000000,32.2265625,32,58,False,True,False,False,,2.525252525252525,,,,,,
gpout0,1,66,792000000,1,3,264000000,21.484375,21,124,False,True,False,False,,3.787878787878788,,,,,,
gpout0,1,66,792000000,1,4,198000000,16.11328125,16,29,False,True,False,False,,5.05050505050505,,,,,,
gpout0,1,66,792000000,1,5,158400000,12.890625,12,228,False,True,False,False,,6.313131313131313,,,,,,
gpout0,1,66,792000000,1,6,132000000,10.7421875,10,190,False,True,True,False,,7.575757575757576,,,,,,
gpout0,1,66,792000000,2,1,396000000,32.2265625,32,58,False,True,False,True,,2.525252525252525,,,,,,
gpout0,1,66,792000000,2,2,198000000,16.11328125,16,29,False,True,False,True,,5.05050505050505,,,,,,
gpout0,1,66,792000000,2,3,132000000,10.7421875,10,190,False,True,True,False,,7.575757575757576,,,,,,
gpout0,1,66,792000000,2,5,79200000,6.4453125,6,114,False,True,True,False,,12.626262626262626,,,,,,
gpout0,1,66,792000000,2,6,66000000,5.37109375,5,95,False,True,True,False,,15.151515151515152,,,,,,
gpout0,1,66,792000000,3,1,264000000,21.484375,21,124,False,True,False,True,,3.787878787878788,,,,,,
gpout0,1,66,792000000,3,2,132000000,10.7421875,10,190,False,True,True,True,,7.575757575757576,,,,,,
gpout0,1,66,792000000,3,4,66000000,5.37109375,5,95,False,True,True,False,,15.151515151515152,,,,,,
gpout0,1,66,792000000,3,5,52800000,4.296875,4,76,False,True,True,False,,18.939393939393938,,,,,,
gpout0,1,66,792000000,4,1,198000000,16.11328125,16,29,False,True,False,True,,5.05050505050505,,,,,,
gpout0,1,66,792000000,4,3,66000000,5.37109375,5,95,False,True,True,True,,15.151515151515152,,,,,,
gpout0,1,66,792000000,4,5,39600000,3.22265625,3,57,False,True,True,False,,25.252525252525253,,,,,,
gpout0,1,66,792000000,5,1,158400000,12.890625,12,228,False,True,False,True,,6.313131313131313,,,,,,
gpout0,1,66,792000000,5,2,79200000,6.4453125,6,114,False,True,True,True,,12.626262626262626,,,,,,
gpout0,1,66,792000000,5,3,52800000,4.296875,4,76,False,True,True,True,,18.939393939393938,,,,,,
gpout0,1,66,792000000,5,4,39600000,3.22265625,3,57,False,True,True,True,,25.252525252525253,,,,,,
gpout0,1,66,792000000,5,5,31680000,2.578125,2,148,False,True,True,True,,31.565656565656564,,,,,,
